run, ts, ppac, f2pl, f3pl, hwtriga, hwtrigb, refp, reft
507, 23273061263, 2834058, 0, 4633, 5490, 28437, 0, 40681
507, 23277620768, 2834172, 0, 4633, 5491, 28440, 0, 40681
507, 23277742420, 2834432, 0, 4633, 5492, 28442, 0, 40681
507, 23277888495, 2834670, 0, 4634, 5493, 28445, 0, 40681
507, 23277962214, 2834780, 0, 4635, 5494, 28446, 0, 40681
507, 23278062698, 2834973, 0, 4635, 5495, 28448, 0, 40681
507, 23282952501, 2835641, 0, 4635, 5496, 28450, 0, 40681
507, 23287675001, 2836096, 0, 4635, 5497, 28451, 0, 40681
507, 23287754991, 2836278, 0, 4635, 5498, 28454, 0, 40681
507, 23287832648, 2836409, 0, 4637, 5499, 28458, 0, 40681
507, 23288012321, 2836667, 0, 4637, 5500, 28459, 0, 40681
507, 23288068494, 2836759, 0, 4637, 5501, 28460, 0, 40681
507, 23292675706, 2836972, 0, 4637, 5502, 28461, 0, 40681
507, 23292898216, 2837362, 0, 4637, 5503, 28464, 0, 40681
507, 23292970535, 2837473, 0, 4638, 5504, 28465, 0, 40681
507, 23293093339, 2837690, 0, 4639, 5505, 28468, 0, 40681
507, 23297635927, 2837773, 0, 4639, 5506, 28469, 0, 40681
507, 23297763885, 2838041, 0, 4639, 5507, 28472, 0, 40681
507, 23297822172, 2838148, 0, 4640, 5508, 28474, 0, 40681
507, 23297893805, 2838245, 0, 4640, 5509, 28475, 0, 40681
507, 23298004824, 2838421, 0, 4640, 5510, 28476, 0, 40681
507, 23298062709, 2838534, 0, 4640, 5511, 28478, 0, 40681
507, 23302658610, 2838740, 0, 4640, 5512, 28479, 0, 40681
507, 23302731465, 2838899, 0, 4640, 5513, 28481, 0, 40681
507, 23302788690, 2839015, 0, 4640, 5514, 28482, 0, 40681
507, 23307644283, 2839635, 0, 4640, 5515, 28484, 0, 40681
507, 23307720002, 2839802, 0, 4640, 5516, 28485, 0, 40681
507, 23307981516, 2840222, 0, 4641, 5517, 28486, 0, 40681
507, 23308066557, 2840391, 0, 4641, 5518, 28489, 0, 40681
507, 23312631511, 2840514, 0, 4641, 5519, 28490, 0, 40681
507, 23312699784, 2840640, 0, 4641, 5520, 28492, 0, 40681
507, 23312756303, 2840745, 0, 4641, 5521, 28495, 0, 40681
507, 23312820732, 2840861, 0, 4642, 5522, 28496, 0, 40681
507, 23312880169, 2840953, 0, 4642, 5523, 28498, 0, 40681
507, 23313013189, 2841171, 0, 4643, 5524, 28499, 0, 40681
507, 23313101095, 2841334, 0, 4643, 5525, 28501, 0, 40681
507, 23317636756, 2841405, 0, 4644, 5526, 28502, 0, 40682
507, 23317720806, 2841597, 0, 4645, 5527, 28506, 0, 40682
507, 23317824193, 2841807, 0, 4646, 5528, 28507, 0, 40682
507, 23317923181, 2841943, 0, 4646, 5529, 28508, 0, 40682
507, 23318084136, 2842247, 0, 4646, 5530, 28512, 0, 40682
507, 23322628735, 2842349, 0, 4646, 5531, 28513, 0, 40682
507, 23322706668, 2842528, 0, 4646, 5532, 28514, 0, 40682
507, 23322782466, 2842672, 0, 4646, 5533, 28516, 0, 40682
507, 23322967983, 2842946, 0, 4646, 5534, 28517, 0, 40682
507, 23323087713, 2843154, 0, 4647, 5535, 28519, 0, 40682
507, 23327614992, 2843204, 0, 4647, 5536, 28520, 0, 40682
507, 23327691279, 2843365, 0, 4647, 5537, 28522, 0, 40682
507, 23327902549, 2843743, 0, 4647, 5538, 28525, 0, 40682
507, 23327969318, 2843851, 0, 4647, 5539, 28527, 0, 40682
507, 23328044965, 2844009, 0, 4648, 5540, 28529, 0, 40682
507, 23332741423, 2844397, 0, 4648, 5541, 28532, 0, 40682
507, 23332832376, 2844553, 0, 4649, 5542, 28535, 0, 40682
507, 23332919688, 2844684, 0, 4649, 5543, 28536, 0, 40682
507, 23334675162, 2845030, 0, 4649, 5544, 28538, 0, 40682
507, 23337617936, 2845059, 0, 4650, 5545, 28538, 1, 40682
507, 23337676393, 2845211, 0, 4650, 5546, 28539, 0, 40682
507, 23337846530, 2845568, 0, 4651, 5547, 28541, 0, 40682
507, 23338035669, 2845850, 0, 4651, 5548, 28542, 0, 40682
507, 23342771515, 2846333, 0, 4653, 5549, 28546, 0, 40682
507, 23342861597, 2846482, 0, 4653, 5550, 28547, 0, 40682
507, 23342920132, 2846561, 0, 4653, 5551, 28548, 0, 40682
507, 23343039046, 2846806, 0, 4653, 5552, 28551, 0, 40682
507, 23347676869, 2847079, 0, 4655, 5553, 28554, 0, 40682
507, 23347813613, 2847358, 0, 4655, 5554, 28556, 0, 40682
507, 23347910502, 2847484, 0, 4656, 5555, 28558, 0, 40682
507, 23348013900, 2847639, 0, 4657, 5556, 28561, 0, 40682
507, 23348076967, 2847763, 0, 4657, 5557, 28563, 0, 40682
507, 23352625321, 2847852, 0, 4657, 5558, 28564, 0, 40682
507, 23352692040, 2847991, 0, 4657, 5559, 28565, 0, 40682
507, 23352777533, 2848174, 0, 4657, 5560, 28567, 0, 40682
507, 23353014201, 2848542, 0, 4657, 5561, 28570, 0, 40682
507, 23353094128, 2848687, 0, 4658, 5562, 28572, 0, 40682
507, 23357640326, 2848782, 0, 4658, 5563, 28573, 0, 40682
