run,ts,ppac,ppac_rate,f2pl,f2pl_rate,f3pl,f3pl_rate,hwtriga,hwtriga_rate,hwtrigb,hwtrigb_rate,refp,refp_rate,reft,reft_rate,livetime
385,473.142572,1404548,2968.5513,30,0.06340584,502,1.06099098,2497,5.27747902,2583,5.45924242,0,0,473,0.99969867,0.9667053813
386,870.155101,2511614,2886.39806,30,0.03447661,926,1.0641781,4682,5.38064995,4818,5.53694392,0,0,871,1.00097097,0.9717725197
387,411.146044,1226202,2982.4001,26,0.06323787,423,1.0288315,2188,5.32170997,2261,5.49926245,0,0,411,0.99964479,0.9677134011
388,283.643314,816046,2877.01476,4,0.01410222,311,1.09644749,1406,4.95692981,1434,5.05564534,0,0,284,1.00125752,0.980474198
389,57.6209226,160622,2787.56384,4,0.06941923,52,0.90244997,311,5.39734503,318,5.51882868,0,0,58,1.00657882,0.9779874214
390,257.220014,721230,2803.942,6,0.02332633,252,0.97970603,1252,4.86742839,1296,5.03848818,0,0,258,1.00303237,0.9660493827
391,752.477899,2222777,2953.94324,24,0.03189462,795,1.05650944,3952,5.2519815,4082,5.42474405,0,0,752,0.9993649,0.9681528662
392,123.827315,330987,2672.97243,8,0.0646061,116,0.93678846,570,4.60318467,586,4.73239688,0,0,124,1.00139456,0.9726962457
393,31.5999923,90231,2855.41209,2,0.06329115,39,1.23417751,153,4.84177333,161,5.09493795,0,0,32,1.01265847,0.950310559
394,760.683813,2164442,2845.38985,22,0.02892135,803,1.05562914,3825,5.02837044,3944,5.18480863,0,0,761,1.00041566,0.9698275862
395,4.90025059,13895,2835.56927,0,0,4,0.81628479,18,3.67328153,21,4.28549512,0,0,5,1.02035598,0.8571428571
396,413.64174,1133837,2741.10877,16,0.03868082,420,1.01537142,2071,5.00674811,2149,5.19531709,0,0,414,1.00086611,0.9637040484
398,519.388384,1479596,2848.72755,16,0.03080546,557,1.0724152,2744,5.28313702,2845,5.47759651,0,0,519,0.99925223,0.9644991213
399,321.740536,883970,2747.46232,10,0.03108095,358,1.11269784,1665,5.17497738,1721,5.34903068,0,0,322,1.00080644,0.9674607786
400,252.171981,697190,2764.74014,2,0.0079311,233,0.92397259,1258,4.9886589,1304,5.17107409,0,0,252,0.999318,0.9647239264
402,205.044268,567421,2767.30974,4,0.01950798,232,1.13146299,1006,4.9062576,1038,5.06232146,0,0,205,0.9997841,0.9691714836
403,289.269896,838161,2897.5051,10,0.03456979,311,1.07512052,1524,5.26843622,1587,5.48622591,0,0,289,0.99906697,0.9603024575
404,1051.37686,2951898,2807.64977,50,0.04755669,1143,1.08714586,5566,5.29401036,5768,5.48613938,0,0,1052,1.00059269,0.9649791956
410,173.95965,351399,2020.00291,4,0.02299384,89,0.51161289,221,1.27040954,224,1.28765492,0,0,174,1.00023195,0.9866071429
411,768.328999,1739322,2263.77242,12,0.01561831,362,0.47115233,1185,1.54230805,1194,1.55402178,0,0,768,0.9995718,0.9924623116
412,1735.10146,4604648,2653.8206,78,0.04495414,908,0.52331234,2791,1.60855147,2816,1.62295985,0,0,1735,0.99994152,0.9911221591
413,1357.01676,3440183,2535.10723,44,0.03242407,725,0.53426017,2100,1.5475122,2120,1.56225042,0,0,1357,0.99998765,0.9905660377
415,288.39314,710648,2464.16402,6,0.02080493,171,0.5929406,457,1.58464241,463,1.60544734,0,0,288,0.99863679,0.9870410367
420,189.595869,2126586,11216.4153,8,0.04219501,414,2.18359188,1921,10.1320773,2037,10.743905,0,0,190,1.00213154,0.9430535101
421,776.377805,8339247,10741.2228,16,0.02060852,1617,2.08274888,7395,9.52500182,7809,10.0582474,0,0,777,1.00080141,0.9469842489
422,910.926182,9917321,10887.0743,32,0.03512908,1899,2.08469142,8980,9.85809847,9481,10.4080881,0,0,911,1.00008104,0.9471574728
